Brunch,The buff,N,American,4.8,$$,Boulder
Restaurant,May wah,N,Chinese,4.7,$$,Boulder
Restaurant,Hapa Sushi,N,Japanese,3.4,$$$,Boulder
Restaurant,Kathmandu Restaurant ll,N,Indian,4.5,$$,Boulder
Restaurant,Zoes Kitchen,N,Mediterranean,4,$,Boulder
Restaurant,Flower Child,Y,American,4.3,$,Boulder
Restaurant,ll Pastaio,N,Italian ,4.9,$$$,Boulder
Coffee,The laughing Goat,N,American,4.5,$,Boulder
Coffee,Alpine Modern Café,N,American,5,$,Boulder
Restaurant,Alforat Restaurant,N,Mediterranean,4.1,$$,Boulder
Restaurant,Funny Plus,N,Korean,4.2,$$,Denver
Brunch,Denver Biscuit Co.,N,American,4.3,$,Denver
Restaurant,Euclid Hall Bar & Kitchen,N,American,3.9,$$$,Denver
Restaurant,Sushi Den,N,Japanese,4.2,$$$,Denver 
Restaurant,Sam's No. 3 Downtown,N,Mexican ,4.1,$$,Denver
Brunch,Snooze,N,American,3.7,$$,Denver
Restaurant,Maggiano's Little Italy,N,Italian ,4.2,$$,Denver
Restaurant,The Bronze Empire,N,Chinese,4.7,$$$,Denver
Restaurant,Zoe Ma Ma,N,Chinese,4.7,$,Denver
Restaurant,Sahara Restaurant,N,Mediterranean,4.6,$$$,Denver
Coffee,Novo Coffee,N,American,3.4,$,Denver
Coffee,Navah Coffee House,N,American,4.2,$,Westminster
Restaurant,Red Robin,N,American,3.1,$$,Westminster
Restaurant,Texas Road House,N,American,4.5,$$,Westminster
Restaurant,Dae Gee Korean BBQ,N,Korean,3.7,$$$,Westminster
Restaurant,Chuy's,N,Mexican ,3.5,$$,Westminster
Restaurant,Himalayan Curry House,N,Indian,4,$$,Westminster
Restaurant,Root Down,Y,American,4.7,$$,Westminster
Brunch,Blue Sky Bistro,N,American,3.8,$$,Westminster
Restaurant,Saigon Basil,N,Chinese,3.3,$$,Westminster
Restaurant,Bonchon Chicken,N,Korean,3.9,$$,Westminster
Restaurant,Sano's Italian Kitchen,N,Italian ,3,$$$,Westminster
